City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Fairbanks,US,64.84,-147.72,1.0,83,40,3.36,scattered clouds
179,Vestmannaeyjar,IS,63.44,-20.27,37.4,74,0,16.11,clear sky
180,Olinda,BR,-8.01,-34.86,82.4,69,40,9.17,scattered clouds
181,Cape Town,ZA,-33.93,18.42,68.0,64,0,14.99,clear sky
182,Hofn,IS,64.25,-15.21,39.16,69,0,15.19,clear sky
183,Chandla,IN,25.08,80.2,68.07,24,9,4.63,clear sky
184,Maine-Soroa,NE,13.21,12.02,81.34,20,77,9.8,broken clouds
185,Sarkand,KZ,45.41,79.92,42.26,54,44,3.8,scattered clouds
186,Jiujiang,CN,29.73,115.98,59.05,90,100,6.73,light rain
187,Charlestown,AU,-32.95,151.67,62.01,84,97,16.11,overcast clouds
188,Souillac,MU,-20.52,57.52,69.8,64,20,6.93,few clouds
189,Arcata,US,40.87,-124.08,66.0,76,1,4.14,clear sky
190,Xining,CN,36.62,101.77,30.29,81,13,1.83,few clouds
191,Taoudenni,ML,22.68,-3.98,82.96,16,100,12.37,overcast clouds
192,Camana,PE,-16.62,-72.71,68.83,67,50,7.0,scattered clouds
193,Lavrentiya,RU,65.58,-171.0,22.1,88,0,4.09,clear sky
194,Gurlan,UZ,41.84,60.39,42.8,45,0,9.17,clear sky
195,Hermanus,ZA,-34.42,19.23,63.0,83,2,4.0,clear sky
196,Maldonado,UY,-34.67,-54.92,64.99,82,20,9.17,few clouds
197,Makakilo City,US,21.35,-158.09,82.4,58,1,1.25,clear sky
198,Sandwick,GB,60.0,-1.25,50.0,76,40,27.51,scattered clouds
199,Jaguey Grande,CU,22.53,-81.13,86.0,74,40,12.75,scattered clouds
200,Qaqortoq,GL,60.72,-46.03,26.6,68,0,3.36,light snow
201,Aktash,RU,50.3,87.73,17.76,80,67,3.8,broken clouds
202,Lida,BY,53.88,25.3,40.17,92,0,4.5,clear sky
203,Tucuman,AR,-26.82,-65.22,87.8,19,0,11.41,clear sky
204,Hokitika,NZ,-42.72,170.97,55.11,81,100,2.71,overcast clouds
205,Ahuimanu,US,21.44,-157.84,82.4,65,1,2.89,clear sky
206,Catuday,PH,16.29,119.81,78.78,79,83,28.14,light rain
207,College,US,64.86,-147.8,1.0,76,75,0.98,broken clouds
208,Margate,GB,51.38,1.39,63.0,94,100,7.0,overcast clouds
209,Verkhoyansk,RU,67.54,133.38,-12.68,88,90,2.75,overcast clouds
210,Tuktoyaktuk,CA,69.45,-133.04,10.4,85,90,10.29,light snow
211,Tukrah,LY,32.53,20.58,68.86,64,17,6.91,few clouds
212,Chokurdakh,RU,70.63,147.92,0.61,94,100,11.03,light snow
213,Maragogi,BR,-9.01,-35.22,77.63,81,81,10.96,broken clouds
214,Takoradi,GH,4.88,-1.76,78.84,88,100,7.78,overcast clouds
215,Camacha,PT,33.08,-16.33,68.0,82,20,2.24,few clouds
216,Thompson,CA,55.74,-97.86,23.0,85,90,11.41,overcast clouds
217,Clyde River,CA,70.47,-68.59,12.2,92,90,3.36,light snow
218,Qui Nhon,VN,13.77,109.23,75.38,84,97,13.02,light rain
219,Macapa,BR,0.04,-51.07,93.2,56,20,11.41,few clouds
220,Breytovo,RU,58.3,37.86,34.75,89,67,7.31,broken clouds
221,Daru,PG,-9.08,143.21,81.43,83,99,13.13,overcast clouds
222,Lensk,RU,60.73,114.93,-1.17,90,0,4.25,clear sky
223,Campeche,MX,19.0,-90.5,78.62,95,17,4.65,light rain
