City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Avarua,CK,2020-10-30 22:48:17,-21.21,-159.78,77.0,73,99,10.29
126,Nikolskoye,RU,2020-10-30 22:50:26,59.7,30.79,46.4,93,90,6.71
127,Puerto Ayora,EC,2020-10-30 22:50:26,-0.74,-90.35,71.01,90,71,4.0
128,Papetoai,PF,2020-10-30 22:50:26,-17.5,-149.87,84.2,66,75,13.87
129,Rockland,US,2020-10-30 22:46:00,41.17,-74.05,39.0,93,83,3.02
130,Dehloran,IR,2020-10-30 22:50:26,32.69,47.27,64.54,35,0,1.34
131,Dikson,RU,2020-10-30 22:50:26,73.51,80.55,13.71,96,100,27.89
132,Herat,AF,2020-10-30 22:50:27,34.5,62.0,34.07,77,0,1.21
133,Raudeberg,NO,2020-10-30 22:50:27,61.99,5.14,50.0,76,40,12.75
134,Mahanje,TZ,2020-10-30 22:50:27,-9.93,35.33,63.09,89,14,5.1
135,Wilkie,CA,2020-10-30 22:50:27,52.42,-108.7,35.6,93,90,13.87
136,Pisco,PE,2020-10-30 22:50:27,-13.7,-76.22,68.0,77,75,6.93
137,Jacmel,HT,2020-10-30 22:50:27,18.23,-72.53,84.2,70,40,12.75
138,Capinota,BO,2020-10-30 22:50:27,-17.72,-66.23,69.8,40,20,13.87
139,Northam,GB,2020-10-30 22:50:27,51.03,-4.22,57.99,97,100,14.0
140,Yar-Sale,RU,2020-10-30 22:50:27,66.83,70.83,33.91,96,100,14.12
141,Angoche,MZ,2020-10-30 22:50:27,-16.23,39.91,75.43,79,10,4.56
142,Price,US,2020-10-30 22:49:03,39.6,-110.81,59.0,24,1,8.05
143,Narsaq,GL,2020-10-30 22:50:27,60.92,-46.05,24.8,73,40,3.36
144,Gravdal,NO,2020-10-30 22:50:27,68.12,13.5,37.4,51,0,6.93
145,Ayni,TJ,2020-10-30 22:50:27,39.39,68.54,44.92,45,0,2.66
146,Jamestown,US,2020-10-30 22:45:33,42.1,-79.24,36.0,93,90,6.26
147,Constitucion,CL,2020-10-30 22:50:28,-35.33,-72.42,60.04,69,0,9.24
148,Ancud,CL,2020-10-30 22:50:28,-41.87,-73.82,60.8,55,0,6.93
149,Black River,JM,2020-10-30 22:50:28,18.03,-77.85,84.2,79,20,12.75
150,Te Anau,NZ,2020-10-30 22:50:06,-45.42,167.72,53.51,92,100,3.76
151,Mahebourg,MU,2020-10-30 22:50:28,-20.41,57.7,68.0,56,40,16.11
152,Biak,ID,2020-10-30 22:50:28,-0.91,122.88,77.41,82,97,8.55
153,Vila Franca Do Campo,PT,2020-10-30 22:50:28,37.72,-25.43,69.8,88,75,14.99
154,Torbay,CA,2020-10-30 22:50:28,47.67,-52.73,36.0,59,75,17.22
155,Mitu,CO,2020-10-30 22:50:28,1.2,-70.17,77.0,94,97,1.79
156,Cacador,BR,2020-10-30 22:50:28,-26.78,-51.02,59.41,78,82,6.22
157,Coquimbo,CL,2020-10-30 22:48:35,-29.95,-71.34,57.2,76,20,11.41
158,Port Hardy,CA,2020-10-30 22:50:29,50.7,-127.42,50.0,71,75,5.82
159,Falakata,IN,2020-10-30 22:50:29,26.52,89.21,68.07,59,51,5.35
160,Melito Di Porto Salvo,IT,2020-10-30 22:50:29,37.92,15.77,64.4,77,0,8.05
161,Buenos Aires,AR,2020-10-30 22:47:49,-34.61,-58.38,61.0,59,0,11.41
162,Berlevag,NO,2020-10-30 22:50:29,70.86,29.09,28.4,86,75,10.29
163,Port Blair,IN,2020-10-30 22:49:35,11.67,92.75,80.35,84,92,11.27
164,Cabo San Lucas,MX,2020-10-30 22:50:03,22.89,-109.91,82.0,54,40,5.82
165,Nouadhibou,MR,2020-10-30 22:50:29,20.93,-17.03,66.2,88,1,16.11
166,San Francisco,US,2020-10-30 22:46:16,37.77,-122.42,69.8,59,20,14.99
167,Qaanaaq,GL,2020-10-30 22:50:29,77.48,-69.36,11.75,85,91,5.14
168,Flinders,AU,2020-10-30 22:45:38,-34.58,150.86,64.0,95,100,4.0
169,Tiksi,RU,2020-10-30 22:50:29,71.69,128.87,8.49,95,100,4.9
170,Kidal,ML,2020-10-30 22:50:29,18.44,1.41,78.37,17,0,11.48
171,Ugoofaaru,MV,2020-10-30 22:50:29,5.67,73.0,82.2,75,62,8.34
172,Carnarvon,AU,2020-10-30 22:50:29,-24.87,113.63,71.6,78,90,4.7
173,Ambatondrazaka,MG,2020-10-30 22:50:30,-17.83,48.42,57.65,80,60,5.73
174,Manzhouli,CN,2020-10-30 22:50:30,49.6,117.43,29.44,98,100,15.86
175,Turukhansk,RU,2020-10-30 22:50:30,65.82,87.98,5.25,91,100,9.93
176,Cayenne,GF,2020-10-30 22:50:30,4.93,-52.33,82.4,88,20,5.82
177,Alofi,NU,2020-10-30 22:50:30,-19.06,-169.92,78.8,78,90,19.46
178,Kahului,US,2020-10-30 22:47:24,20.89,-156.47,87.8,55,40,21.92
179,San Patricio,US,2020-10-30 22:50:30,28.02,-97.52,71.6,37,20,12.75
180,Severo-Kurilsk,RU,2020-10-30 22:50:30,50.68,156.12,41.68,91,100,33.49
181,La Ronge,CA,2020-10-30 22:50:30,55.1,-105.28,23.0,85,100,16.11
182,Abha,SA,2020-10-30 22:50:30,18.22,42.51,59.0,41,0,1.23
183,Lebu,CL,2020-10-30 22:48:06,-37.62,-73.65,53.91,82,0,12.53
184,Progreso,MX,2020-10-30 22:50:30,21.28,-89.67,78.01,83,90,4.7
185,Norman Wells,CA,2020-10-30 22:50:30,65.28,-126.83,14.0,92,90,4.7
186,Surgut,RU,2020-10-30 22:50:31,61.25,73.42,33.8,100,90,11.18
187,Lazarev,RU,2020-10-30 22:50:31,52.23,141.51,39.29,73,97,11.39
188,Yabelo,ET,2020-10-30 22:50:31,4.88,38.08,59.54,94,100,4.21
189,Zhongshu,CN,2020-10-30 22:50:31,24.52,103.77,58.15,92,95,2.91
190,Kutum,SD,2020-10-30 22:50:31,14.2,24.67,75.24,25,66,11.88
191,Evensk,RU,2020-10-30 22:50:31,61.95,159.23,23.79,91,36,3.36
192,Fortuna,US,2020-10-30 22:50:31,40.6,-124.16,62.01,62,1,10.29
193,Paraiso,CR,2020-10-30 22:50:31,9.84,-83.87,73.4,88,75,5.82
194,Kattivakkam,IN,2020-10-30 22:50:31,13.22,80.32,77.0,94,40,5.79
